id,amount,fees,target_feerate,real_feerate,algo,num_inputs,negative_ev,num_outputs,change_amount,before_num_utxos,after_num_utxos,waste,max_excess,excess
0,0.00010000,0.00000166,0.00001476,0.0000149549549550,bnb,1,0,1,,225,224,86,0.00000500,-0.00000478
1,0.00200000,0.00000217,0.00001929,0.0000195495495495,bnb,1,0,1,,224,223,112,0.00010000,0.00000323
2,0.00050000,0.00000297,0.00002645,0.0000267567567568,bnb,1,0,1,,223,222,154,0.00002500,-0.00000802
3,0.00010000,0.00000168,0.00001495,0.0000151351351351,bnb,1,0,1,,222,221,87,0.00000500,-0.00000386
4,0.00050000,0.00000176,0.00001567,0.0000158558558559,bnb,1,0,1,,221,220,91,0.00002500,-0.00000272
5,0.00010000,0.00000759,0.00006764,0.0000683783783784,bnb,1,0,1,,220,219,393,0.00000500,-0.00000482
6,0.00050000,0.00000309,0.00002742,0.0000278378378378,bnb,1,0,1,,219,218,160,0.00002500,-0.00000301
7,0.00050000,0.00000890,0.00007933,0.0000801801801802,bnb,1,0,1,,218,217,461,0.00002500,-0.00000831
8,0.00050000,0.00000699,0.00006232,0.0000629729729730,bnb,1,0,1,,217,216,362,0.00002500,-0.00000302
9,0.00010000,0.00000697,0.00006222,0.0000627927927928,bnb,1,0,1,,216,215,361,0.00000500,-0.00000498
10,0.00050000,0.00000313,0.00002788,0.0000281981981982,bnb,1,0,1,,215,214,162,0.00002500,0.00000372
11,0.01000000,0.00000329,0.00002926,0.0000296396396396,bnb,1,0,1,,214,213,170,0.00050000,-0.00000999
12,0.00010000,0.00000224,0.00001991,0.0000201801801802,bnb,1,0,1,,213,212,116,0.00000500,-0.00000395
13,0.00050000,0.00000521,0.00004646,0.0000469369369369,bnb,1,0,1,,212,211,270,0.00002500,0.00000204
14,0.00010000,0.00001054,0.00009401,0.0000949549549550,bnb,1,0,1,,211,210,546,0.00000500,-0.00000432
15,0.00010000,0.00000884,0.00007884,0.0000796396396396,bnb,1,0,1,,210,209,458,0.00000500,-0.00000495
16,0.00010000,0.00000761,0.00006785,0.0000685585585586,bnb,1,0,1,,209,208,394,0.00000500,-0.00000455
17,0.00050000,0.00000452,0.00004025,0.0000407207207207,bnb,1,0,1,,208,207,234,0.00002500,0.00000536
18,0.00010000,0.00000248,0.00002205,0.0000223423423423,bnb,1,0,1,,207,206,128,0.00000500,-0.00000403
19,0.00010000,0.00000168,0.00001499,0.0000151351351351,bnb,1,0,1,,206,205,87,0.00000500,-0.00000294
20,0.00010000,0.00000517,0.00004611,0.0000465765765766,bnb,1,0,1,,205,204,268,0.00000500,-0.00000311
21,0.00010000,0.00000757,0.00006753,0.0000681981981982,bnb,1,0,1,,204,203,392,0.00000500,-0.00000444
